,average_cost_for_two,cuisines,currency,establishment_types,has_online_delivery,has_table_booking,id,include_bogo_offers,is_book_form_web_view,is_delivering_now,is_table_reservation_supported,is_zomato_book_res,location.address,location.city,location.city_id,location.country_id,location.latitude,location.locality,location.locality_verbose,location.longitude,location.zipcode,medio_provider,mezzo_provider,name,offers,opentable_support,price_range,switch_to_order_menu,user_rating.aggregate_rating,user_rating.custom_rating_text,user_rating.custom_rating_text_background,user_rating.rating_color,user_rating.rating_text,user_rating.rating_tool_tip,user_rating.votes
0,20,"Bakery, Cafe, Eastern European",$,[],0,0,17739864,True,0,0,0,0,"84 Oakdale Road, North York M3N 1V9",Toronto,89,37,43.7402337000,"Oakdale Road, North York","Oakdale Road, North York, Toronto",-79.5258023000,M3N 1V9,,OTHER,Capri Bagels & Buns Inc,[],0,1,0,0,,,CBCBC8,Not rated,,3
0,30,Eastern European,$,[],0,0,17837890,True,0,0,0,0,"4138 Dundas Street West , Etobicoke M8X 1X3",Toronto,89,37,43.6616390000,"Dundas Street West, Etobicoke","Dundas Street West, Etobicoke, Toronto",-79.5079490000,M8X 1X3,,OTHER,Malta's Finest Pastries,[],0,2,0,0,,,CBCBC8,Not rated,,0
0,15,"Bakery, Eastern European",$,[],0,0,17829574,True,0,0,0,0,"2395 Cawthra Road, Mississauga L5A 2W8",Toronto,89,37,43.5912480000,"Cawthra Road, Mississauga","Cawthra Road, Mississauga, Toronto",-79.5929250000,L5A 2W8,,OTHER,Baltic Bakery,[],0,1,0,0,,,CBCBC8,Not rated,,0
0,35,"Eastern European, European",$,[],0,0,18716278,True,0,0,0,0,"10 Headdon Gate, Richmond Hill, ON L4C 9W9",Toronto,89,37,43.8672820000,Richmond Hill,Richmond Hill,-79.4586550000,,,OTHER,Stroganoff Restaurant,[],0,2,0,0,NEW,#89959B,CBCBC8,Not rated,This restaurant is newly opened. The rating will appear once the restaurant completes 60 days in operation.,0
0,80,Eastern European,$,[],0,0,17740299,True,0,0,0,0,"2727 Steeles Ave West, North York",Toronto,89,37,43.7823645000,"Steeles Avenue West, North York","Steeles Avenue West, North York, Toronto",-79.4892894000,,,OTHER,Caspi Restaurant,[],0,3,0,0,,,CBCBC8,Not rated,,1
0,60,"Russian, Canadian, European",$,[],0,0,8904876,True,0,0,0,0,"44 Wellington Street East, Toronto M5E 1C7",Toronto,89,37,43.6485050000,"Wellington Street East, St. Lawrence","Wellington Street East, St. Lawrence, Toronto",-79.3747330000,M5E 1C7,,OTHER,Pravda Vodka House,[],0,3,0,3.6,,,9ACD32,Good,,82
0,65,"Jewish, Middle Eastern, Canadian",$,[],0,0,8906978,True,0,0,0,0,"320 College Street, Toronto M5T 1S3",Toronto,89,37,43.6577527778,"College Street, Harbord Village","College Street, Harbord Village, Toronto",-79.4026805556,M5T 1S3,,OTHER,Free Times Cafe,[],0,3,0,3.7,,,9ACD32,Good,,55
0,30,Russian,$,[],0,0,8903264,True,0,0,0,0,2256 Kingston Road,Toronto,89,37,43.7054333333,"Kingston Road, Scarborough","Kingston Road, Scarborough, Toronto",-79.2522361111,,,OTHER,Gourmet Schnitzel House,[],0,2,0,3.9,,,9ACD32,Good,,30
0,25,Jewish,$,[],0,0,8910756,True,0,0,0,0,"414 Dupont Street, Toronto M5R 1V9",Toronto,89,37,43.6738370000,"Dupont Street, The Annex","Dupont Street, The Annex, Toronto",-79.4117560000,M5R 1V9,,OTHER,Schmaltz Appetizing,[],0,1,0,3.3,,,CDD614,Average,,11
0,20,"Pizza, Jewish",$,[],0,0,17733239,True,0,0,0,0,"Spring Farm Marketplace, 441 Clark Avenue West, Thornhill",Toronto,89,37,43.8052250000,Thornhill,Thornhill,-79.4383530000,,,OTHER,My Zaidy's Pizza,[],0,1,0,3.5,,,9ACD32,Good,,19
0,50,Moldovan,$,[],0,0,8900848,True,0,0,0,0,"5000 Dufferin Street, North York M3H 5T5",Toronto,89,37,43.7817270000,"Dufferin Street, North York","Dufferin Street, North York, Toronto",-79.4706950000,M3H 5T5,,OTHER,Moldova,[],0,2,0,3.6,,,9ACD32,Good,,9
0,30,Russian,$,[],0,0,8908834,True,0,0,0,0,"90 Eglinton Avenue East, Toronto M4P 1A6",Toronto,89,37,43.7071500000,"Eglinton Avenue East, Yonge & Eglinton","Eglinton Avenue East, Yonge & Eglinton, Toronto",-79.3961805556,M4P 1A6,,OTHER,Vera's Kitchen,[],0,2,0,3.4,,,CDD614,Average,,9
0,45,"Russian, European",$,[],0,0,8901505,True,0,0,0,0,"Units 7-10, 1126 Finch Avenue West, North York M3J 3J6",Toronto,89,37,43.7678830000,"Finch Avenue West, North York","Finch Avenue West, North York, Toronto",-79.4752270000,M3J 3J6,,OTHER,Elite Grande,[],0,2,0,3.2,,,CDD614,Average,,5
0,25,Ukrainian,$,[],0,0,18409117,True,0,0,0,0,"222 Main Street E, Milton L9T 1N8",Toronto,89,37,43.5135177167,"Main Street East, Milton","Main Street East, Milton, Toronto",-79.8826984513,L9T 1N8,,OTHER,Mama's Pierogies,[],0,1,0,0,,,CBCBC8,Not rated,,3
0,40,Ukrainian,$,[],0,0,8903013,True,0,0,0,0,"1118 Centre Street, Thornhill",Toronto,89,37,43.8088840000,"Centre Street, Thornhill","Centre Street, Thornhill, Toronto",-79.4620440000,,,OTHER,Melody Restaurant,[],0,2,0,3.4,,,CDD614,Average,,6
0,80,Russian,$,[],0,0,8904231,True,0,0,0,0,"7700 Bathurst Street, Thornhill",Toronto,89,37,43.8098180000,"Bathurst Street, Thornhill","Bathurst Street, Thornhill, Toronto",-79.4506990000,,,OTHER,Moscow Nights Restaurant,[],0,3,0,3.3,,,CDD614,Average,,3
0,0,Russian,$,[],0,0,18422857,True,0,0,0,0,"7700 Bathurst Street, Unit 38-40, Toronto L4J 7Y3",Toronto,89,37,43.8098058000,"Bathurst Street, Thornhill","Bathurst Street, Thornhill, Toronto",-79.4516510000,L4J 7Y3,,OTHER,Promenade Restaurant & Banquet Hall,[],0,1,0,0,,,CBCBC8,Not rated,,1
0,50,Jewish,$,[],0,0,8903681,True,0,0,0,0,"1416 Centre Street, Thornhill",Toronto,89,37,43.8070030000,"Centre Street, Thornhill","Centre Street, Thornhill, Toronto",-79.4719920000,,,OTHER,A Yiddishe Mame,[],0,2,0,2.9,,,FFBA00,Average,,4
0,20,"Jewish, Israeli",$,[],0,0,18340697,True,0,0,0,0,"994 Eglinton Avenue W, Toronto M6C 2C5",Toronto,89,37,43.7003224000,"Eglinton Avenue West, Forest Hill","Eglinton Avenue West, Forest Hill, Toronto",-79.4295168000,M6C 2C5,,OTHER,AISH Tanoor,[],0,1,0,0,,,CBCBC8,Not rated,,2
